precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Growth Rate (1/hr),CTR [mol/h],D-glucose consumed [cmol],OD [-],base volume [ml],citrate [mmol/L],pyruvate [mmol/L],succinate [mmol/L],formate [mmol/L],lactate [mmol/L],ethanol [mmol/L],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
DDB_0244,DDB_PD_036_AMBR_R18_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnHigh]_[Fed-batch]_[16h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.109,0.0195,0.4141,178.8,13.1,0,53.977,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnHigh]_[Fed-batch]_[16h],TRUE
DDB_0245,DDB_PD_036_AMBR_R19_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnHigh]_[Batch]_[0h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.436,0.00045,0,2.36,2.01,0,162.545,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnHigh]_[Batch]_[0h],TRUE
DDB_0246,DDB_PD_036_AMBR_R20_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnHigh]_[Batch]_[0h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.418,0.0005,0,2.322,1.34,0,161.321,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnHigh]_[Batch]_[0h],TRUE
DDB_0247,DDB_PD_036_AMBR_R19_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnHigh]_[Fed-batch]_[16h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.104,0.02131,0.41912,171.9,11.57,0,57.105,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnHigh]_[Fed-batch]_[16h],TRUE
DDB_0248,DDB_PD_036_AMBR_R20_S10_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnHigh]_[Fed-batch]_[16h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,16,0.108,0.01757,0.40957,176.2,13.14,0,54.395,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,FALSE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnHigh]_[Fed-batch]_[16h],TRUE
DDB_0249,DDB_PD_036_AMBR_R21_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnLow]_[Batch]_[0h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.5,0.00045,0,1.986,1.34,0,171.289,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnLow]_[Batch]_[0h],TRUE
DDB_0250,DDB_PD_036_AMBR_R22_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnLow]_[Batch]_[0h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.514,0.00041,0,2.108,1.55,0,163.807,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnLow]_[Batch]_[0h],TRUE
DDB_0251,DDB_PD_036_AMBR_R21_S07_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnLow]_[Fed-batch]_[6h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,6,0.113,0.00646,0.14563,74.25,6.15,0,122.255,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnLow]_[Fed-batch]_[6h],TRUE
DDB_0252,DDB_PD_036_AMBR_R22_S07_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[DDB35_ZnLow]_[Fed-batch]_[6h],2,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA,DDB35,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Fed-batch,6,0.13,0.00617,0.14148,75.75,6.01,0,111.445,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[DDB35_ZnLow]_[Fed-batch]_[6h],TRUE
DDB_0253,DDB_PD_036_AMBR_R23_S02_RNA_seq,DDB_PD_036,ddb_pd_036,[DDB_PD_036]_[SDT107_ZnLow]_[Batch]_[0h],1,2,24/04/2021,Escherichia coli K-12 BW25113 del-fhuA del-zur,SDT107,DDB_BM_002,glucose(4),NH4Cl(1),O2,DDB_TM_002,,30,6.5,,Batch,0,0.434,0.00047,0,2.4,1.72,0,172.696,0,0,0,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_036:[DDB_PD_036]_[SDT107_ZnLow]_[Batch]_[0h],TRUE
