Geneid,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_121_R11_S05#,PD_121_R13_S05#,PD_121_R15_S05#,PD_121_R5_S05#2,PD_121_R7_S05#2,PD_121_R9_S05#2,PD_122_R11_S05#,PD_122_R13_S05#,PD_122_R15_S05#,PD_122_R5_S05#2,PD_122_R7_S05#2,PD_122_R9_S05#2,PD_123_R11_S05#,PD_123_R13_S05#,PD_123_R5_S05#1,PD_123_R7_S05#1,PD_123_R9_S05#1
b0001,10.26882575,10.23332922,9.989377586,11.05267315,10.98991167,11.09229917,10.81736824,10.55144522,11.12273159,12.79731365,12.56740859,10.62475312,11.19290878,10.572,11.59927229,12.51807197,11.52580878,10.64051186,11.45829658,10.08549946,11.54625159,10.54735421,11.10975617
b0002,9.522497476,9.117752658,9.139082699,7.754346515,7.821709136,7.905214671,8.149490383,7.571751717,7.939145318,7.442674478,7.127700664,8.151259066,8.181164868,7.619234129,7.742226167,7.450285538,7.081872576,8.219872814,8.198950458,7.73295318,7.723272729,7.555798226,8.184394752
b0003,9.083923123,8.782278423,8.742474048,7.602189178,7.711154599,7.781399296,7.991726598,7.738916257,7.68308306,7.578275871,7.696793989,7.968703727,7.873566701,7.909355568,7.472492689,7.548537202,7.684911564,8.038398969,7.915476426,7.802649059,7.64419697,7.675395232,7.931423911
b0004,8.404835019,8.363498084,8.21547754,7.274508822,7.244816158,7.338556245,7.627757989,7.406188661,7.247001756,7.167143841,7.338941089,7.694199534,7.549146074,7.302630062,7.015931328,7.179748093,7.307277462,7.653090666,7.717659487,7.34847808,7.25530958,7.229710325,7.605211422
b0005,5.696586367,5.560235618,5.819425116,3.851236801,4.256504076,3.998828369,6.012667043,3.841057402,4.596360165,4.125691801,4.485209893,4.84252978,6.084625515,3.918486651,4.54330507,3.935906061,4.613781052,5.011440415,5.964757823,4.239501366,3.685819918,4.06794041,4.822041597
b0006,5.493464567,5.609610807,5.431792242,5.570776895,5.525340287,5.7217502,6.195407309,5.572994703,6.31819917,5.687936763,5.478339047,5.685713405,6.141693717,5.472386512,6.365907636,5.67312819,5.392359322,5.506800347,6.075867211,5.638876135,5.781324205,5.513346237,5.685593
b0007,3.857562712,3.733863477,3.795602976,3.525132115,3.671381204,3.816356525,2.887216561,3.640465145,3.937385561,3.663890468,3.670888766,3.776561274,3.172625649,3.808661313,3.879440287,3.440187429,3.469560682,3.734761605,2.952509666,3.745770599,3.72209957,3.743288566,3.987173528
b0008,10.53975101,10.60048458,10.58642568,9.907968956,9.900071306,9.929520418,10.59064502,9.511850208,10.05658481,9.70847742,9.432357364,9.931494054,10.63339487,9.445566289,9.998880123,9.86717318,9.468825046,9.875917387,10.62558837,9.4777656,9.844617284,9.624622395,9.770066229
b0009,5.763715366,5.876281859,5.78466559,5.102582811,5.143399906,5.247656894,5.362229182,5.479852797,5.232146547,5.012753154,5.340722746,5.348798987,5.386270867,5.543757655,4.950235213,4.995480105,5.279097962,5.224867993,5.347894496,5.511436293,5.026070445,5.401003753,5.272113973
b0010,5.919390762,5.818085279,5.658988863,6.010570308,5.994719825,5.840096896,5.134550775,5.956520492,6.227543725,6.231366744,6.23134263,5.778654129,5.408923256,5.939165744,6.511300056,6.010130571,6.132434015,5.584733877,5.38764599,5.686877615,5.82786677,5.737971226,5.688268483
b0011,2.784861686,2.888248053,2.866486706,2.744983606,2.764639958,2.570517492,2.350016686,2.923136424,2.8935446,2.802011525,2.879184783,2.423558158,2.583940135,2.705192811,2.401767419,2.687929843,2.900805228,2.62674211,2.460324322,2.612574604,2.654968035,2.648871143,2.220755867
b0012,0.669174405,0.848536852,0.657930391,0.597452123,0.226873313,0.428262931,0.662363833,1.337710557,0,0.630917731,0.951572853,0.439633092,0.673637188,0.427800609,1.262301482,0.63968234,0.828432888,0.234934243,0.474236753,0.423994323,0.771997554,0.75568988,0.780064627
b0013,1.846680239,1.766392212,1.388404007,0.496138824,1.015622608,1.026330724,0.764862823,0.26743577,1.530862137,0.52490597,0.534370818,0.714809817,0.308052936,0.500004056,0.704386388,1.357473753,1.113455892,0.886663187,1.263670927,0.863881906,1.04365863,1.162976836,0
b0014,10.18250749,10.14504222,10.20348629,9.208984684,9.340617836,9.273554587,9.518933218,9.470749204,9.976298788,9.139544873,9.20844359,10.07970726,9.534613894,9.183424564,9.964007579,8.947932095,9.127473525,10.04536156,9.484280778,9.337228832,9.182393222,9.342075301,9.959284131
b0015,7.643172103,7.773386639,7.78132289,7.019565251,7.211724813,7.132419789,7.214062893,7.17010203,7.698716034,6.978273473,7.036443969,7.474863446,7.303861683,7.00464852,7.562693198,6.99366699,7.166646667,7.542477534,7.197171998,7.131037772,7.065626382,7.186458948,7.38202968
b0016,6.959281707,6.969127915,7.113826721,5.252221536,5.344630145,5.252662507,7.736595044,5.534671903,5.45732655,5.175158932,5.493313937,5.351353651,7.812612035,5.569824902,5.617639181,5.221246328,5.289399261,5.531488078,7.791695848,5.465554842,5.209363903,5.521726276,5.451154755
b0018,4.913472364,5.400161545,5.644777677,5.255609528,5.006071351,4.81735518,4.633607315,5.87625821,4.353021726,5.571323808,6.176509971,5.236095514,4.739192339,5.789772841,4.636577941,5.037954693,6.329893115,5.07652008,4.609855552,5.59808914,4.948944919,5.73277777,5.213392648
b4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0019,6.476855866,6.617629166,6.422623463,7.529395909,7.478739269,7.545467254,5.038647124,6.976061863,8.180148667,7.649709746,7.148534281,6.896911011,4.987797088,7.083461903,8.495858763,7.363427117,7.061101279,6.868549377,5.16701389,6.840551593,7.447098571,6.870006658,7.035907152
b0020,6.055965924,5.946425531,6.06875156,6.10226277,6.124889011,6.13812497,5.01614828,5.717577058,6.841176097,5.936030663,5.560502237,5.668989036,5.026923449,5.736298555,6.815229587,5.798964094,5.876235774,5.740445251,5.059999749,5.751440836,6.000272726,5.791258915,5.785298815
b0021,2.142254257,1.888411696,1.080222689,3.259292391,3.349928116,3.392065961,1.699309822,0.408517563,1.887293896,3.130611453,1.486069242,1.530793383,1.33926831,1.320681186,0.882068099,3.722026742,1.319675581,1.341890262,1.858771117,1.106364865,3.277998025,1.498553241,1.448363448
b0022,3.82407481,3.394610764,3.437688447,5.566040146,5.504003288,5.485994928,3.536317502,2.921224418,3.015415938,5.464166052,2.983201763,3.37988346,3.520893167,3.649450495,3.439926793,5.599599494,2.692430865,3.495273385,3.150715237,3.090807075,5.778513529,2.819924531,3.344273604
b0023,9.977978551,10.07477082,9.920844525,10.47859328,10.32060066,10.40703832,10.28431623,10.21958617,10.83824556,10.90512955,10.88802814,10.33248397,10.38258109,10.14922794,10.90667891,10.86153467,10.83793532,10.25489784,10.33423916,9.900420718,10.33898112,10.05010775,10.14488676
b0024,5.829837308,5.652694346,5.533165503,5.16651357,5.098313597,4.759004926,4.601400587,5.529734524,5.410916932,4.974219056,5.128943045,5.312503448,5.178564989,5.41778573,5.651863678,4.840700248,5.215380704,5.086076985,4.903656802,5.503093107,5.167541306,5.334140364,5.121916851
b0025,8.297900828,8.223207022,8.215395466,8.118246902,8.091899541,8.066669234,8.256083608,8.03019407,8.365630824,8.058302831,7.979221468,7.928485391,8.180970305,8.03873362,8.379619655,7.959764713,7.964301918,7.912699251,8.260688296,7.90957657,8.055560113,7.916159359,7.897062831
b0026,8.528410792,8.491632175,8.535816641,8.169704971,8.232917262,8.200278263,8.514273427,8.192117164,8.557554807,8.1620294,8.047400135,8.14305761,8.428032054,8.096706477,8.56824438,8.045087869,7.932991206,8.174758752,8.460224871,8.094836689,8.13128206,8.110784493,8.187199416
b0027,7.499928466,7.509377241,7.495532289,7.244225881,7.29305784,7.301677222,7.719474573,7.382002119,7.828040095,7.575602159,7.630483237,7.247271472,7.510315547,7.11473697,7.887967721,7.498844585,7.584841758,7.271422176,7.698495659,6.967023143,7.265367761,7.073215278,7.178179238
b0028,8.039872542,7.959774027,7.946408687,7.323795373,7.431262997,7.394214994,7.840599374,7.307925763,7.925143719,7.175588871,7.248904944,7.365515875,7.651717787,7.210115459,7.786625466,7.267411639,7.275646495,7.307292876,7.622624565,7.351786226,7.443781262,7.446459847,7.354581993
b0029,6.979143937,7.10501975,7.098343259,6.555752816,6.548405434,6.561220765,6.989321033,6.580666785,7.078084448,6.675246326,6.441522853,6.514033074,6.854902521,6.5169972,7.028610585,6.543724294,6.693214732,6.489329999,6.898917776,6.410499191,6.497012289,6.457785554,6.556072825
b0030,6.559302575,6.76704248,6.895504407,5.324035888,5.378964213,5.1352164,5.750040787,6.859452033,2.449075032,5.221992506,6.735604379,6.115005928,5.575146255,6.719914143,2.675015022,5.070433233,6.524517721,6.1739828,5.646580012,6.887578597,5.179376489,6.864797427,6.18790669
b0031,6.551745699,6.31008965,6.257389493,6.531459272,6.56741219,6.496600783,6.40842806,6.292179336,6.792568675,6.414888298,6.235096708,6.623945361,6.475089401,6.475097162,6.510088479,6.462783147,6.599529838,6.493254843,6.34118754,6.515564198,6.435611453,6.487570399,6.494334789
b0032,8.21175569,8.009124948,8.026352927,8.360209901,8.416617451,8.28848966,7.876333428,8.494783644,8.542827683,8.18310366,8.278739446,8.081935798,7.836862368,8.459101986,8.466073618,8.073754505,8.12499536,8.081591932,7.782574173,8.594735112,8.31139424,8.449690682,8.104145024
b0033,7.567729418,7.421809968,7.436235632,7.527745653,7.500375654,7.518913221,7.342574403,7.749704159,7.919185113,7.474944572,7.644919697,7.368962448,7.132789206,7.644029349,7.853918264,7.421518983,7.576548395,7.337389054,7.240248933,7.699748006,7.520226761,7.662751014,7.309689923
b0034,5.978368692,5.839365885,5.695483885,5.076448506,4.868633896,5.007904634,4.828436022,5.202683988,4.448132917,5.115241676,5.598563907,5.318795419,4.731280471,4.917936685,4.7298628,4.928201976,5.39021124,5.105394603,4.855071619,4.732062065,4.649598936,5.262542914,5.204318375
b0035,1.843311721,2.101687231,1.821377394,1.348764462,1.565871856,0.996195076,2.272985813,1.419442515,1.521252326,1.830330839,2.025800543,2.220966597,1.715319217,1.992940207,1.368274785,1.84806041,2.491852757,1.531380181,1.956186775,1.63554555,1.855431473,1.354367616,2.228405232
b0036,1.298446646,1.575453904,1.856000728,1.310561741,0.610215522,1.190422515,1.546703758,1.035220488,1.130934562,1.012596452,1.322792051,1.465849136,1.735690196,0.804891544,0.812936212,0.85202549,1.286287802,1.339665782,1.66255158,1.181068822,0.727977656,1.118099677,1.351699143
b0037,3.098840414,3.013266902,3.171745218,1.745563792,1.993666762,1.90928376,2.196538001,1.783095958,2.539818344,2.051427704,2.244523222,1.962305623,2.450648079,1.865853489,2.42614832,2.438506014,2.194877804,1.779725281,2.140118216,1.520935,1.848135017,2.024344976,2.010084044
b0038,3.545382613,3.548757521,3.565135767,2.309686477,2.575407101,2.301668776,2.062618173,2.26075178,2.640601975,2.346460502,2.072098105,2.434757703,2.262791157,2.32026531,2.918019437,2.117585459,2.139114718,2.368336156,2.539527082,2.545794383,2.328713181,2.431664683,2.442475361
b0039,4.507650597,4.080295743,4.298082841,3.022551305,3.16430671,3.316747053,2.973509298,3.563743451,3.139350819,3.463281082,3.531510481,3.268191879,3.185384981,3.387729869,3.444645875,3.062617654,3.767306804,3.038953819,3.394386118,3.333271238,3.281788831,3.25733031,3.069555504
b0040,1.653344998,1.450874049,1.512779551,0.729721866,0.906177197,0.735711377,1.126846233,0.81740809,0.966538782,0.954947341,1.136489022,1.020460683,1.143414905,1.411952959,1.122927405,0.966912815,1.040989769,1.015208732,1.168942687,1.029380121,0.843590116,1.034932045,0.983908919
b0041,1.849624754,1.255765639,1.06535325,1.50211587,0.808526939,1.136331004,1.565047214,1.495047489,0.994640095,0.853449883,1.935808739,1.007595022,1.087696338,1.762746792,1.282616595,1.195136103,1.834807186,1.533637857,0.690018396,1.797650331,0.832362273,1.393603306,1.601418089
b0042,1.334793806,1.51545469,1.372906621,1.160418358,1.099076669,0.849913756,0.585948144,1.263646369,0.784197625,1.026943359,0.567411371,1.193215491,1.016782953,1.223826378,0.92757803,1.22862259,0.765877032,1.498176102,1.140603536,1.679528244,1.244318469,1.518386296,1.077293055
b0043,1.755810078,1.371475114,1.295514735,1.313426204,1.271883208,0.936271877,1.344950246,1.449140579,1.214987597,1.371898413,0.990981618,1.05398159,1.034700869,1.394707406,0.894016745,1.179032093,1.30141968,0.901639587,1.260724433,1.274474769,0.901848219,1.356042006,0.961932943
b0044,1.581013344,1.233358627,1.392378902,1.288613046,0.655121493,1.459254757,0.987875166,1.718635,0.669476023,0.387979231,1.176879928,1.634201449,1.225861581,0.905920871,1.870068121,0.957247131,0.72643334,1.31741869,1.401557378,1.957008862,1.133648941,1.965082812,1.329330406
b0045,1.326138938,1.382256408,1.636104045,1.043168927,0.58215116,0.760059157,1.140593623,1.037547984,0.969056374,1.047851154,1.281704894,0.831811698,1.157294265,1.328454066,1.226330281,1.106799829,1.139433514,0.718328577,1.094907514,1.489257303,0.976886675,1.289436697,1.247223068
b0046,4.391321654,4.794308407,4.611507731,5.172358489,5.095883734,5.230177404,4.297580996,4.630338474,5.611176913,4.880205883,4.640112766,5.098407954,4.365110742,4.706880059,5.547468034,4.9992069,4.158887875,4.966654579,4.413017475,4.692562815,5.328536793,4.694256891,4.963273602
b0047,3.800357541,3.984577611,3.988459412,4.457318965,4.439759719,4.430046091,4.092674854,4.198174413,4.86823454,4.486539989,4.162620791,4.345605195,4.019131406,4.101270926,4.800419456,4.500811971,4.060371768,4.449778376,3.960602926,3.862614803,4.530184698,4.074596053,4.34467485
b0048,6.767595427,6.792431651,6.755720413,7.308958321,7.186502666,7.259467143,6.957694504,7.20873492,6.510465399,7.381078344,7.509279726,7.120527431,7.021712597,7.591509857,6.650946513,7.485032322,7.70293054,7.070416173,6.897414256,7.173713313,7.239380173,7.168863395,7.023224648
b0049,7.097832536,7.017422657,7.085362634,6.529735431,6.555700377,6.669883292,6.437281889,6.250704509,7.436975527,6.415018394,6.125445476,6.276254968,6.378927285,6.160798477,7.469247915,6.435769515,5.983612674,6.358547825,6.426865402,6.046460588,6.476011369,6.138658225,6.334463176
b0050,8.435650231,8.339788066,8.420961541,7.946032373,7.968010881,7.933741631,7.707459262,7.602422275,8.623656637,8.08279608,7.818873794,7.729008943,7.654350173,7.815979961,8.740381783,7.853551751,7.640118849,7.651745207,7.824453432,7.668836054,7.904475227,7.740624781,7.779876858
b0051,8.083761948,8.069231199,8.037206961,7.662592242,7.737735464,7.626258532,7.471667817,7.435416167,8.352484485,7.59810595,7.324239404,7.393510138,7.397406396,7.473607176,8.374648245,7.61046036,7.326415361,7.447696665,7.465951013,7.404796131,7.686548336,7.252836574,7.484604427
b0052,7.205513921,7.030216383,7.128219499,6.675907998,6.742654825,6.803562135,6.990314535,6.592196548,7.268118521,6.526677462,6.415553567,6.704223358,7.08296586,6.562820171,7.24286459,6.564999832,6.495189027,6.713174705,7.049247602,6.597647342,6.689544055,6.776820115,6.680551996
b0053,8.281787449,8.363498084,8.340839285,8.154578414,8.151468097,8.197415134,8.681673004,8.409291684,8.431654757,8.169400699,8.276585241,8.383845714,8.576763431,8.229222063,8.467780964,8.360720783,8.267490489,8.348001541,8.686449775,8.288875644,8.240099455,8.320092469,8.405431598
b0054,8.721768253,8.64802271,8.653820906,8.565701727,8.59180386,8.5387087,8.734945758,8.582868158,8.860325409,8.406218803,8.332803753,8.598326587,8.782562331,8.520634589,8.868438085,8.529967661,8.322395902,8.540403997,8.801770048,8.62664037,8.647934666,8.596100502,8.590281462
b0055,5.803047722,5.743491441,5.736320287,5.595804516,5.577654985,5.649512104,5.820826749,5.454828204,5.719339477,5.943691919,5.629546764,5.665538317,5.737070947,5.364293864,5.940156682,5.738696356,5.998910729,5.555506954,5.823501977,5.124269336,5.533148834,5.309065373,5.58779845
b0056,5.914845548,5.822466001,5.801766408,5.97543962,6.084747332,6.09741847,6.02754627,5.770728935,6.276891906,6.099509958,5.617966321,5.942670018,6.235335351,5.593552598,6.2856525,6.056126891,5.703452287,5.735611994,6.219307557,5.675723445,5.957641991,5.616307602,6.042655846
b0057,5.703497176,4.924485246,5.273443725,6.420903164,6.686826732,6.81314274,6.679721433,6.52019155,6.193700689,6.480687777,5.874479659,5.991278355,6.578720077,6.195212635,6.203276157,6.352776255,5.927712023,6.405793725,6.787134944,6.53751184,6.762971628,6.037969717,6.488401123
b0058,5.367041044,5.545134311,5.43511941,5.755312343,5.782598973,5.568202301,4.586536865,5.308082456,6.428948771,5.947770338,5.48352009,5.357773899,4.432658776,5.358719189,6.263684163,5.798235306,5.675989248,5.504868629,4.415974912,5.298815042,5.769254499,5.096120757,5.164154672
b0059,5.476098244,5.412666885,5.508843665,5.451920219,5.538147503,5.484417134,4.201982338,5.214158237,6.169159399,5.503224888,5.04618575,5.173170159,4.217966178,5.172239787,6.186877043,5.321689306,4.93710036,5.288432454,4.237276936,5.185201409,5.439036931,5.128532936,5.255517195
b0060,4.311874992,4.173197099,4.237991737,4.399635972,4.424909735,4.409126082,3.382845275,3.847675295,5.086245547,4.311328644,3.851215016,4.053662327,3.588067065,4.026744104,5.051155188,4.356523187,3.809834486,4.103399075,3.512748044,4.043977863,4.43896668,4.029263934,4.27348385
b0061,0.350192747,0,0,0.308978155,0.162098504,0.445725877,0,0.306875493,0.315384034,0.173357329,0.17687821,0.169134387,0,0.164163093,0.166190813,0,0,0,0,0.30866007,0,0.310759018,0.170184308
b0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0064,6.223888872,6.273601766,6.155520586,6.276013649,6.266496212,6.183060643,6.178163426,7.078850306,4.6927206,6.163245839,6.719946938,6.495538513,6.195267473,7.064283126,4.961721088,5.968076407,6.736341807,6.517970933,6.286037286,7.106974626,6.164274888,6.832313816,6.619879241
b0065,5.971266803,5.696726533,5.747863954,6.155684525,6.299888379,6.084440773,6.15648038,6.374097584,5.858503152,6.117285433,6.27027466,6.000738259,6.273654984,6.494128368,6.091767554,5.986169886,6.434736638,6.003215363,6.29710259,6.431233439,6.166009967,6.38648766,6.178340969
b0066,2.663176198,3.113452177,3.278648209,2.367814448,2.427851805,2.379953147,2.447930469,2.602690002,2.326063755,2.605320814,2.600540406,1.99000933,2.576531049,2.378498447,2.521339086,2.973407219,2.446196148,1.840848709,2.175582283,2.151932918,2.111369781,2.341582936,2.318830472
b0067,2.900859267,2.899427664,2.767751362,2.015732575,2.294087578,2.482221129,2.492837099,2.079179563,2.112782437,2.329635751,2.322211514,2.315152006,2.198645921,2.166218022,2.27814986,2.050389751,2.1732559,2.243261786,2.610514095,1.879570566,2.39767011,1.966281404,2.29117874
b0068,4.626863612,4.645233336,4.642261525,3.956786223,3.935329875,3.890116318,3.996819471,3.699012079,3.720756126,3.807833283,3.571259551,3.772828443,4.125923727,3.5845223,3.438928158,3.894468347,3.322500168,3.937824655,3.946392673,3.621203997,3.904971244,4.011760495,3.539397115
b0069,4.952500743,4.705101667,4.724461112,4.547465223,4.529217262,4.533712636,4.304016376,4.480172939,4.476240871,4.482697631,4.303680866,4.238695039,4.417875456,4.522482347,4.549928409,4.360479659,4.293650487,4.291390569,4.375699949,4.53344665,4.457801193,4.528137992,4.410013453
b4662,7.298720375,7.241694367,6.508757354,7.412560113,7.224953134,7.202960709,8.143379196,8.088525988,6.394012963,8.474870055,9.727271912,7.5234025,7.847532049,9.241531422,6.931048919,9.163633863,9.149629757,7.04307465,8.036198347,7.62369013,7.064732966,7.791289644,7.431630192
b0070,5.17765954,5.189043301,5.05460019,5.261605903,5.271511117,5.276256209,5.608721551,5.30045405,5.258776773,5.345053133,5.40687448,5.159112787,5.545607306,5.287700008,5.387717381,5.28644657,5.483155069,5.221290743,5.533579521,5.317172874,5.266146261,5.345495877,5.183062754
b0071,7.85975439,7.677466009,7.786630529,8.944112079,9.011665615,8.846361202,9.61933804,10.07841629,8.122490275,8.713087269,9.628500027,9.247581762,9.475618256,9.996122668,8.162374974,8.81277769,9.402585974,9.165986103,9.709631574,10.08041382,8.908523677,9.854758455,9.389748815
b0072,7.834865931,7.715722043,7.8271753,8.673549599,8.801697874,8.698163431,9.538670069,9.904452253,8.041983266,8.450910069,9.280238793,9.167699974,9.344814071,9.760439036,7.941689228,8.409359839,9.028060699,9.143166616,9.529974445,10.01155389,8.72399358,9.660801637,9.258514224
b0073,7.735048281,7.707467588,7.833892551,8.701603677,8.842366462,8.709734363,9.630648405,9.939552357,8.136482958,8.492668937,9.290222011,9.18670421,9.366963724,9.723748713,7.992557594,8.369763813,9.010593543,9.1500032,9.465026402,9.913330925,8.657505401,9.667959293,9.222021954
b0074,7.426441289,7.322866633,7.511724691,8.592277361,8.694505812,8.570447586,9.351702187,9.830991426,7.749541031,8.332838663,9.137047718,9.026752006,9.296162705,9.602243688,7.729625103,8.258708037,8.895147307,9.030794129,9.257635555,9.87159474,8.570770562,9.56110481,9.105925985
b0075,6.088191327,6.246374241,6.058145544,7.519369494,7.505799751,7.496267499,7.663956649,8.185467555,7.333503393,10.33435767,9.914648992,7.468642415,7.922228848,7.991892583,7.497606364,9.276703924,8.051727437,7.322451116,7.658927625,8.009476798,8.04909451,8.052003386,7.709680063
b0076,3.20082305,3.388303515,3.265697334,3.772393546,3.874068488,3.893750067,4.528259293,3.62610452,2.717818698,3.917008237,3.774078526,3.908453728,4.398967019,3.658517478,3.002502319,4.187281283,3.803867397,3.950611212,4.72351572,3.251173951,3.808418989,3.714394733,3.881630576
b4726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0077,6.798228314,6.722647079,6.747023325,7.373127875,7.500365688,7.510231501,8.082687551,7.295317755,7.812766726,7.376431223,7.190240054,7.461067477,7.966285008,7.256502887,7.72279209,7.33452398,7.164373064,7.460578168,8.00824326,7.339263662,7.469975123,7.309622858,7.52015647
b0078,7.445719337,7.596834232,7.560590071,8.190973923,8.213820558,8.174770461,8.811751661,7.870591262,8.601054816,8.156315413,7.992724489,8.214980794,8.891749143,7.989658617,8.348186203,8.334898588,8.195495068,8.126528878,8.771963876,7.988311161,8.254630649,8.020071132,8.149001182
b0080,7.761829352,7.737244246,7.832788659,7.524964755,7.552856655,7.474319488,7.71732992,8.177789314,7.079733532,7.458616464,8.03075084,6.162594033,7.540948413,8.051153885,7.053311347,7.463367354,8.125471089,6.576180177,7.611768744,8.182951794,7.547437416,8.161432162,6.364888795
b0081,8.454190234,8.33702151,8.238447519,8.05283236,7.990615414,8.05198925,8.05126145,8.152668707,8.616329866,8.436264864,8.658510629,8.240292463,8.134282605,8.260821196,8.705800901,8.315865934,8.738413441,8.142787919,8.110994512,8.031377534,8.033032487,8.037205024,8.351342304
b0082,7.306645724,7.389570212,7.24549694,7.194673619,7.060613325,7.121834877,7.29755686,7.331511172,8.006618544,7.32324226,7.629951583,7.424188247,7.402116237,7.212161527,7.972905309,7.362914815,7.63600089,7.265207041,7.377202917,7.241730991,7.097967866,7.215939004,7.336199388
b0083,7.137016406,7.012505771,7.006992491,7.098278883,6.91436214,7.003967726,7.171298257,7.096950548,7.761971106,7.44391247,7.614414632,7.132554737,7.172824479,7.226280691,7.742386218,7.288624447,7.612420146,7.029347088,7.202122852,7.050482402,7.003620828,6.92952103,7.156469797
b0084,6.326720119,6.222328311,6.153634894,6.257255219,6.212605938,6.184306599,6.378743573,6.393092128,6.970889365,6.548230522,6.587213202,6.415595234,6.533842014,6.40733663,6.898482632,6.760605501,6.521895216,6.422623129,6.42252164,6.375580755,6.207278986,6.393643809,6.433204836
b0085,6.650498283,6.682679235,6.532837482,6.373021729,6.228351218,6.303800849,6.713860894,6.439805215,7.318621255,6.53220022,6.722904763,6.596389219,6.73962544,6.33463347,7.123973098,6.577801029,6.799692592,6.489265625,6.670494027,6.24656025,6.409608453,6.318515222,6.64342819
b0086,7.022621479,6.903102262,6.871964953,6.537909099,6.502164298,6.489701566,6.809060219,6.642018291,7.454339455,6.486535619,6.64865826,6.760241966,6.849008318,6.480959394,7.287783927,6.483248458,6.628338083,6.667988619,6.79829178,6.630905823,6.427801255,6.545123478,6.794832043
b0087,6.746533428,6.629363565,6.425647101,6.506890027,6.528617094,6.599967334,6.819056097,6.561516731,7.164157542,6.694436819,6.986659505,6.837308617,6.710169824,6.688703568,7.305977942,6.559416196,6.760166698,6.754645911,6.862383376,6.489343619,6.478975374,6.594200832,6.709229047
b0088,6.825889657,6.878171436,6.716945556,6.542263084,6.590888939,6.617416174,7.002469631,6.701694996,7.517789758,6.802963521,6.958697434,6.826167416,6.965794488,6.630548269,7.41362997,6.826479448,7.022767787,6.775200722,6.941698404,6.565807593,6.629201774,6.62749015,6.840553683
b0089,6.775896686,6.70132839,6.529053591,6.699603437,6.634003601,6.623663651,6.872248122,6.715391223,7.288268106,6.740445891,6.98456241,6.89482777,6.840395997,6.836095343,7.328350287,6.793435561,7.002100554,6.816359933,6.966296325,6.617956951,6.603878693,6.722562067,6.844836307
b0090,7.254885139,7.093166957,7.032234074,6.744506295,6.701372592,6.758359591,7.137729379,6.821011479,7.480800423,6.71550818,6.978698246,6.911690665,7.085954988,6.806018188,7.479222914,6.721486773,6.977905028,6.882828253,7.080342985,6.777016419,6.767584752,6.828118179,6.967903187
b0091,7.103744175,7.019262882,6.936765164,6.719701066,6.615628395,6.793506285,7.082734379,6.764799527,7.488553519,6.907234466,7.052522924,6.785657476,6.951008166,6.709503126,7.562906436,6.920740359,7.087416521,6.825123974,7.059338595,6.574753122,6.729055535,6.647165345,6.815597233
b0092,7.626517202,7.695494581,7.526309332,7.558594694,7.56219149,7.540018857,7.699933126,7.571682228,8.137378635,7.757291818,7.874730392,7.529537397,7.694201081,7.666643223,8.125044521,7.657552143,8.000163208,7.543235922,7.713976835,7.479644275,7.446656063,7.44078474,7.631344615
b0093,7.608838926,7.693739254,7.509718013,7.622273219,7.531789518,7.469681292,7.604049424,7.497136171,8.075775174,7.497947062,7.709640838,7.559359042,7.43981558,7.578683843,8.149474762,7.618981326,7.968839515,7.455220083,7.502871887,7.485615882,7.48095289,7.561670958,7.614263783
b0094,7.577440587,7.606371992,7.499444738,7.485445398,7.430375377,7.435381561,7.644577457,7.365665934,8.168267416,7.40764473,7.363415527,7.501455673,7.757573587,7.424696065,7.916056821,7.484938661,7.632732385,7.519238244,7.545145584,7.473169289,7.373952818,7.453225457,7.492190908
b0095,8.969454338,8.980306861,8.956348201,8.893544135,8.950436377,8.954433919,9.277182683,8.936540098,9.526056502,8.783390411,8.781167556,8.853033573,9.273817807,8.828507016,9.262042089,8.888258886,8.792963716,8.950609309,9.094320861,8.978124906,8.94582651,8.913640377,8.854954078
b0096,11.26022193,11.31923848,11.15892921,10.79159786,10.7056927,10.72156418,11.06406172,10.74228167,11.14687582,10.959822,11.11842336,10.70130053,10.99486328,10.87726031,11.27387297,10.94114189,11.38345484,10.68577324,11.07031318,10.56608185,10.71857651,10.76476786,10.70519088
b0097,9.022458211,8.755009116,8.923734142,7.963060157,8.115633139,7.997579401,8.481445449,8.062139013,8.131649288,7.927877086,8.127835916,8.241901782,8.558550021,8.131514024,8.100557749,7.920211057,8.020668969,8.265732075,8.49009083,8.266729239,8.071397409,8.399602297,8.319658044
b0098,7.747490685,7.757177177,7.687180007,7.042674942,7.054353092,7.015655321,7.857513424,7.355035764,7.164951468,7.063988095,7.534110254,7.34313152,7.846415856,7.174487478,7.170322759,7.119590465,7.40081763,7.451976398,7.80018821,7.256662984,7.080398029,7.527866684,7.296601757
