Geneid,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_121_R11_S05#,PD_121_R13_S05#,PD_121_R15_S05#,PD_121_R5_S05#2,PD_121_R7_S05#2,PD_121_R9_S05#2,PD_122_R11_S05#,PD_122_R13_S05#,PD_122_R15_S05#,PD_122_R5_S05#2,PD_122_R7_S05#2,PD_122_R9_S05#2,PD_123_R11_S05#,PD_123_R13_S05#,PD_123_R5_S05#1,PD_123_R7_S05#1,PD_123_R9_S05#1
b0765,4.496774486,4.467818226,4.484828213,4.662748486,4.665828595,4.659198414,4.703029546,4.901928511,4.68990493,4.564183883,4.942355006,4.533169627,4.508238731,4.749551985,4.652644147,4.608099208,5.042299076,4.563415052,4.39257779,5.036828634,4.659639376,4.998294509,4.668964746
b0766,5.928022117,5.919087852,5.925418978,5.360537651,5.464353085,5.294585495,5.739865159,5.36404622,5.304454693,4.996557709,5.135065282,5.211200469,5.747765118,5.315270039,5.362942188,5.195733095,5.073992636,5.172003186,5.736301076,5.144155299,5.180814625,5.355200697,5.161583776
b0767,7.485088964,7.324666072,7.436875492,7.704122952,7.790322838,7.851923716,6.473362442,7.548211954,8.434236708,7.497396817,7.162705095,7.665946798,6.503441648,7.550393079,8.268250125,7.486529808,6.907468529,7.719038043,6.335552722,7.676852276,7.701050109,7.50029038,7.819787053
b0768,2.037981546,2.254892235,2.08336954,1.986262407,2.132058726,2.148381245,2.393585694,2.04006465,1.945683827,2.090937586,2.206670879,1.930966089,2.735297378,2.384140908,1.608187756,2.045033182,2.218956094,2.436869071,2.311869747,2.575356311,2.231138514,2.331479413,2.273929122
b0769,0.787728429,0.636276711,1.047356973,0.774305056,0.557374369,0.780570826,1.114598486,0.393232918,0.312960702,0.507882247,0.896957945,0.318046175,0.937737587,0.639325282,0.215862223,1.081320641,1.052501373,0.725083274,0.621870323,0.395454611,0.113233625,0.482513999,0.994982932
b0770,1.093160401,1.106530422,0.666745812,0.659547674,1.027774079,1.156971614,1.47367089,1.215976956,0.439122602,0.948265048,1.403809328,0.97520825,1.458339571,0.995941811,0.559799037,1.255073962,1.03678583,0.831220245,1.475414257,1.221274779,0.879226133,0.951051376,1.066135293
b0771,2.074587118,2.164647329,2.036911878,1.612405243,1.342968976,1.723315547,1.908496447,1.78374502,1.563032529,1.695684404,2.154296193,1.669706192,1.962771338,1.603833774,1.407589997,1.67712605,1.954244955,2.027793423,1.894360517,1.879382981,1.73056424,1.813334389,1.901180481
b0772,6.828550998,6.709374743,6.728629257,6.465729203,6.594777675,6.636688211,7.238121952,6.425024389,6.748917799,6.336258542,6.276139585,6.634738956,7.300991249,6.476704715,6.689985359,6.463127709,6.32166977,6.601777362,7.285783814,6.613512937,6.566993772,6.667437763,6.636254453
b0773,7.805296609,7.830249815,7.813202409,7.600349355,7.627601043,7.539516404,6.799892385,7.31962353,7.600347875,7.383645752,7.239959646,7.494357434,6.806789104,7.428569919,7.70664888,7.51809073,7.50779337,7.348646389,6.92061997,7.367380672,7.706141399,7.252745765,7.595200105
b0774,6.790353946,6.472161448,6.423347969,4.856088685,4.931336537,5.042904061,4.62263,4.725132809,5.244613734,4.818166412,4.615005288,4.7957991,4.755250054,4.916243106,4.937474947,4.900622437,4.572670509,4.768267973,4.704453793,4.94769692,5.03232026,4.70920434,4.896112544
b0775,7.339823919,7.006295734,6.868101709,5.655941113,5.654551851,5.614776939,5.479453331,5.665630763,6.241414121,5.457418328,5.403822763,5.913944516,5.597384229,5.742415845,5.691860866,5.461706978,5.299751395,5.755074536,5.219085729,5.701515443,5.790379908,5.510796237,5.905228574
b0776,6.784823432,6.433057892,6.473336909,5.127828007,5.154223226,4.998910811,4.577923325,4.878891333,5.434894531,5.179442015,5.097937143,5.047887263,4.757115317,5.24659357,5.300296345,5.159821459,5.110189324,4.960628642,4.685255277,4.841600455,5.242123697,4.774046269,5.232337231
b0777,6.461615493,5.968956676,6.123480302,4.746061933,4.557780047,4.591359825,4.583398196,4.519197308,5.022060491,4.522380473,4.396014514,4.748445004,4.436834761,4.667281762,5.050805787,4.538521449,4.336279575,4.491061074,4.24896112,4.450502373,4.610445618,4.291886954,4.681832952
b0778,6.792446825,6.408336425,6.461356678,4.700850096,4.767927822,4.953103421,4.656770206,4.703864757,5.512470527,4.541130667,4.570624574,4.983887893,4.763563684,4.706764221,5.101761274,4.428404558,4.384021529,4.956274173,4.817611235,4.414533816,4.754679219,4.640037212,4.981360857
b0779,7.27921061,7.229300088,7.225002055,6.458374051,6.458428284,6.519046364,6.238522363,6.21224213,7.053049678,6.345094482,6.090045549,6.262691666,6.25329365,6.153594429,6.914147331,6.30152019,6.118453781,6.233830215,6.161440972,6.253592491,6.443273019,6.281295601,6.289624146
b0780,5.774674014,5.796509116,5.66792205,5.974995135,5.855635908,5.910025569,5.948321873,5.781144567,6.1242183,5.961075986,5.907463596,5.639721696,5.882945447,5.894892947,6.227759702,5.950915212,6.278486065,5.422499391,5.824281315,5.684073527,5.85412815,5.623808329,5.637928511
b0781,8.093497464,8.069177259,8.0513326,7.122605013,6.959734121,6.970954285,7.467685667,6.935395113,7.538550779,6.995093122,6.891693912,7.332708981,7.373834135,7.020910228,7.636145166,7.131783811,6.790220909,7.341830103,7.397883894,7.035019452,7.208898719,6.88905841,7.401152636
b0782,8.781625491,8.56220783,8.737076537,7.467168886,7.441181067,7.411742539,8.404409589,7.20279315,7.944357744,7.135661544,6.905931228,7.927778671,8.28632848,7.366299863,7.958872284,7.435906809,6.835148881,7.925421396,8.173777906,7.434821624,7.604180632,7.210157638,8.006502395
