,project,Strain Type,Strain Description,Short_genotype,Culture Type,Media version,Growth Rate (1/hr),mu_set
DDB2__PD-005_del-qseF_Batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Batch,1,max,none
DDB2__PD-003_del-qseF_Batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Batch,1,max,none
DDB2__PD-003_del-qseF_Batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Batch,1,max,none
DDB2__PD-003_del-qseF_Fed-batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-003_del-qseF_Fed-batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-qseF_Fed-batch_6h__1,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-qseF_Fed-batch_6h__2,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-qseF_Fed-batch_6h__3,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-qseF_Fed-batch_15h__1,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-005_del-qseF_Fed-batch_15h__2,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-003_del-qseF_Fed-batch_21h__1,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-003_del-qseF_Fed-batch_21h__2,DDB2,TF KO,Escherichia coli BW25113 del-qseF,BW25113 del-qseF,Fed-batch,1,0.11,0.11
DDB2__PD-005_MG1655-del-fhuA_Batch_6h__1,DDB2,WT,Escherichia coli K-12 MG1655 del-fhuA,MG1655,Batch,1,max,none
DDB2__PD-005_MG1655-del-fhuA_Batch_6h__2,DDB2,WT,Escherichia coli K-12 MG1655 del-fhuA,MG1655,Batch,1,max,none
DDB2__PD-005_MG1655-del-fhuA_Batch_6h__3,DDB2,WT,Escherichia coli K-12 MG1655 del-fhuA,MG1655,Batch,1,max,none
DDB2__PD-005_MG1655-del-fhuA_Fed-batch_6h__1,DDB2,WT,Escherichia coli K-12 MG1655 del-fhuA,MG1655,Fed-batch,1,0.11,0.11
DDB2__PD-005_MG1655-del-fhuA_Fed-batch_6h__2,DDB2,WT,Escherichia coli K-12 MG1655 del-fhuA,MG1655,Fed-batch,1,0.11,0.11
DDB2__PD-005_MG1655-del-fhuA_Fed-batch_15h__1,DDB2,WT,Escherichia coli K-12 MG1655 del-fhuA,MG1655,Fed-batch,1,0.11,0.11
DDB2__PD-005_MG1655-del-fhuA_Fed-batch_15h__2,DDB2,WT,Escherichia coli K-12 MG1655 del-fhuA,MG1655,Fed-batch,1,0.11,0.11
