Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L]
DDB_PD_122_AMBR_R05__S01,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S01,12.08848967,7.0,17.625,6.68584012140795,0.53138413388845,0.1667473365317565,0.0,0.43532989463194804,0.0,7.4508023153497005,0.0,0.0,5.800000000000027,5.900000000000016,6.000000000000005
DDB_PD_122_AMBR_R05__S02,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S02,14.52519997,5.0,35.39,0.0,0.136030868405005,0.12367021501766501,0.0,0.0,0.0,5.4989460235252,0.0,0.0,10.200000000000209,10.299999999999976,10.499999999999954
DDB_PD_122_AMBR_R05__S03,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S03,34.61832026,5.5,97.55,0.0,0.0,0.113590230327461,0.0,0.0,0.0,6.5687321467703494,0.0,0.0,11.99999999999979,23.8333333333333,22.83333333333341
DDB_PD_122_AMBR_R05__S04,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S04,54.60223317,5.5,172.55,0.0,0.0,0.0,0.0,0.0,0.0,5.100446751546101,0.0,0.1521768400444575,53.49999999999988,52.49999999999999,52.799999999999955
DDB_PD_122_AMBR_R05__S05,DDB_PD_122_AMBR,DDB_PD_122_AMBR_DDB35-006_R05_Main_,R05,S05,74.61088206,7.5,319.7,0.0,0.0,0.0,0.0,0.0,0.0,1.6659191107833298,0.0,0.221374850158336,92.8,90.79999999999998,90.89999999999998
DDB_PD_122_AMBR_R07__S01,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT173-002_R07_Main_,R07,S01,12.05355971,7.0,18.27,5.4646357554875005,0.579916190281295,0.1134552851096205,0.0,0.0,0.134915373841715,7.48214028071995,0.0,0.0,6.000000000000005,5.800000000000027,6.299999999999972
DDB_PD_122_AMBR_R07__S02,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT173-002_R07_Main_,R07,S02,14.23283755,5.0,32.87,0.0,0.1400349273247885,0.1121963467299175,0.0,0.0,0.0,5.1627993191772,0.0,0.0,9.90000000000002,9.90000000000002,10.199999999999987
DDB_PD_122_AMBR_R07__S03,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT173-002_R07_Main_,R07,S03,34.26971357,5.5,77.525,0.0,0.0,0.1408090584928525,0.0,0.0,0.0,6.60256894573715,0.0,0.0,21.499999999999854,22.00000000000017,21.83333333333315
DDB_PD_122_AMBR_R07__S04,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT173-002_R07_Main_,R07,S04,54.27779769,5.5,146.3,0.0,0.0,0.14996203708328,0.0,0.0,0.0,5.497194454489,0.0,0.20170409819699647,48.89999999999994,48.20000000000002,48.00000000000004
DDB_PD_122_AMBR_R07__S05,DDB_PD_122_AMBR,DDB_PD_122_AMBR_SDT173-002_R07_Main_,R07,S05,74.27514644,7.5,245.2,0.0,0.0,0.13694310212687,0.0,0.0,0.0,2.2105347113540548,0.0,0.3063467016191685,83.69999999999989,83.19999999999995,83.4999999999999
