Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],co [µg/L],cu [µg/L],fe [µg/L],k [mg/L],mg [mg/L],mn [µg/L],mo [µg/L],na [mg/L],s [mg/L],zn [µg/L]
DDB_PD_066_AMBR_R13__S00,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S00,0.0,1.5,0.332,13.256095428545851,0.0,0.94384311367626,0.0,0.0,0.0,0.0,0.0,498.2237899,477.6522752,41033.63127,5242.221466,0.0,347.3432364,816.0674378,51.1425015,2109.687151,5913.655084
DDB_PD_066_AMBR_R13__S01,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S01,3.019057423,1.5,0.372,12.89369477939485,0.0,0.927784123617075,0.0,0.0,0.0,0.0,0.0,497.9798498,465.7985051,39872.58813,5450.907286,30.60876357,353.3443903,797.0982026,43.57778595,2210.630142,5836.733666
DDB_PD_066_AMBR_R13__S02,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S02,6.018411617999999,1.5,0.848,12.7293909004245,0.126316619907828,0.9519963578748549,0.0,0.0,0.0937452276415545,0.0,0.0,493.6930367,481.7891129,41374.83405,5234.506307,0.0,253.9312876,829.2277255,39.21685678,2117.408148,5963.147
DDB_PD_066_AMBR_R13__S03,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S03,9.017413318,3.5,2.61,11.2377298088064,0.2856902426637295,0.97139354526792,0.0,0.310887751344323,0.486601515952575,0.2032322641395845,0.0,483.0284836,454.4105508,40007.26887,5346.217852,0.0,351.0336435,791.6601767,31.83402876,2125.591999,5766.184877
DDB_PD_066_AMBR_R13__S04,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S04,12.01849301,1.5,6.64,8.5844244315342,0.46845914553729195,0.929585956972825,0.13083672173647648,0.5090066448571949,0.940180614869035,0.3185239057529135,0.0900736549588555,499.7043172,470.2211981,41451.14912,5060.536387,24.64280453,357.6067926,804.7486794,35.07247307,2099.071792,5924.458414
DDB_PD_066_AMBR_R13__S05,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S05,17.47150598,1.5,35.8,0.0,0.1744953267067475,0.8808820613388001,0.0,0.0,0.0,0.0,0.107444199551883,487.9068256,460.0842567,39847.51819,5205.911276,0.0,300.729284,795.1547185,32.17256749,2142.667946,5787.824591
DDB_PD_066_AMBR_R13__S06,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S06,20.46321481,2.0,68.7,0.0,0.049497736134702944,0.845836042590795,0.0,0.0,0.0,0.0,0.207523737161662,515.9791409,481.2040722,42848.23925,5264.775164,18.18231601,368.6008048,825.2255726,28.56579207,2095.059374,6090.631302
DDB_PD_066_AMBR_R13__S07,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S07,23.46252405,1.5,95.4,0.0,0.0,0.7738004276545101,0.0,0.0,0.0,0.0,0.3371329982886505,498.4126656,477.8366074,41661.08755,5503.348923,0.0,249.2110042,815.2236545,31.58476513,2277.328796,5922.433854
DDB_PD_066_AMBR_R13__S08,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S08,26.4647239,2.0,118.1,0.0,0.141284821283362,0.7082947786641549,0.0,0.0,0.0,0.0,0.413038589589226,471.4575759,131.7960532,28059.4557,4556.101153,87.18992616,74.21730655,625.8149991,0.0,1928.571923,4306.261375
DDB_PD_066_AMBR_R13__S09,DDB_PD_066_AMBR,DDB_PD_066_AMBR_DDB7-006_R13_Main_,R13,S09,29.46422001,1.5,128.9,0.0,0.1355621563464065,0.6557371602807099,0.0,0.0,0.0,0.0,0.473482529343196,,,,,,,,,,
