Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],co [µg/L],cu [µg/L],fe [µg/L],k [mg/L],mg [mg/L],mn [µg/L],mo [µg/L],na [mg/L],s [mg/L],zn [µg/L]
DDB_PD_060_AMBR_R06__S01,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S01,0.0,2,0.35,27.2066395688881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0488577,138.7101276,4700.211306,5852.326874,19.70592562,67.8891218,143.0580039,122.6779133,2714.388509,163.1176997
DDB_PD_060_AMBR_R06__S02,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S02,4.019164242,2,1.371,23.7710380024016,0.43521495547313405,0.0,0.0,0.0,0.0,0.0576800136367558,0.0,138.1614876,171.890293,4879.012584,5746.966289,29.16365998,83.83711514,150.2643857,159.2447687,2348.622062,162.8083405
DDB_PD_060_AMBR_R06__S03,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S03,8.018450977999999,2,5.505,18.0663385954788,1.13742934297195,0.0,0.0,0.0,1.83741969697786,0.775018860744655,0.183201735397947,142.6161785,153.2048074,5060.496019,5302.328149,48.17250803,22.94665875,142.2011068,74.19192631,2365.503541,163.0818106
DDB_PD_060_AMBR_R06__S04,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S04,10.01686607,2,12.49,13.0910760075578,1.81917933737923,0.0,0.0,0.0,2.94008359725372,0.296910499455937,0.298295387200626,154.2106676,127.7401266,5078.741176,5865.325977,44.74511679,30.59339421,147.2356781,80.96489763,2624.005566,84.02829688
DDB_PD_060_AMBR_R06__S05,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S05,12.02031948,2,22.2377,0.0,1.94604029074066,0.0,2.08020556269157,0.0,1.75357159655755,0.184303112145668,0.25541145428371803,143.0631809,88.09942967,4155.15273,5231.134948,36.65761757,84.63586101,121.4118787,73.61768083,2384.933708,0.0
DDB_PD_060_AMBR_R06__S06,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S06,13.16979655,2,26.7,0.0,0.616517974897489,0.0,1.8070745411258902,0.0,0.0,0.0,0.0,129.9213862,38.8070986,3615.958483,5096.54074,22.5483661,97.47666912,117.8721304,63.14945386,2424.066268,0.0
DDB_PD_060_AMBR_R06__S07,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S07,16.17224861,2,43.225,0.0,0.0,0.0,1.6333496695943501,0.0,0.0,0.0,0.237178649955858,129.7444547,46.90352853,2699.841071,4549.782596,25.1366871,102.933321,102.8704894,0.0,2076.287044,0.0
DDB_PD_060_AMBR_R06__S08,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S08,19.17226808,2,67.375,0.0,0.0,0.0,1.4232585684420602,0.0,0.0,0.0,0.342078445001325,135.8784493,44.10917851,1861.288938,4287.147574,36.99744212,99.19098306,104.0848816,0.0,2669.110876,0.0
DDB_PD_060_AMBR_R06__S09,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S09,22.17141008,2,119.5,0.0,0.0,0.0,1.7678824921060199,0.0,0.0,0.0,0.359071372295498,178.4042633,42.46161007,546.6392617,5965.953504,33.59860388,130.2201818,96.78063414,180.4981854,2990.176631,0.0
DDB_PD_060_AMBR_R06__S10,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S10,25.1708815,2,131.2,0.0,0.0,0.0,1.72296536925304,0.0,0.0,0.0,0.25480257887842,158.814293,43.60820038,168.8254614,4443.329045,29.42441493,116.28181,44.99828386,66.68564873,2178.811992,0.0
DDB_PD_060_AMBR_R06__S11,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S11,28.17124323,2,173.6,0.0,0.0,0.0,2.05868442380457,0.0,0.0,0.0,0.0,174.1296153,37.47738518,82.12849922,4001.29415,31.81761754,122.7768481,30.08239925,0.0,1954.226539,0.0
DDB_PD_060_AMBR_R06__S12,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S12,31.1723448,2,208.2,0.0,0.0,0.0,2.98676994594641,0.0,0.0,0.0,0.0,115.9011702,0.0,62.50657248,4229.106835,45.15855318,60.13343174,26.07152402,0.0,2411.508571,0.0
DDB_PD_060_AMBR_R06__S13,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S13,34.17392978,2,238.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42147772944620404,165.4635983,0.0,46.90068404,2555.779337,137.824938,47.67496223,21.55075587,0.0,1577.887766,0.0
DDB_PD_060_AMBR_R06__S14,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R06_Main_,R06,S14,37.17280034,2,226.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35358021636037495,160.557526,0.0,41.95671786,2731.583495,182.6900519,21.53716142,16.82819803,0.0,1537.593466,0.0
DDB_PD_060_AMBR_R07__S01,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S01,0.0,2,0.324,27.740649561053303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.5509924,153.3012903,4870.618276,5998.123235,18.44666383,75.04959435,172.3344761,138.3875938,2695.371911,190.8743315
DDB_PD_060_AMBR_R07__S02,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S02,4.039401855,2,1.347,25.7988312214203,0.356927799099482,0.0,0.0,0.0,0.0,0.628850414471577,0.0,135.4813444,164.3190716,4812.584506,6285.481346,25.45814571,80.8689697,171.4171283,147.4009077,2732.762353,173.3406045
DDB_PD_060_AMBR_R07__S03,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S03,8.046799688,2,5.54,18.876916351147802,1.0731580967957501,0.0,0.0,0.0,1.6923436318027698,0.718752867431258,0.179228225736627,142.6148871,125.5069934,5736.460913,5222.341277,52.10514461,14.72760512,197.3069265,71.28550393,2373.796573,137.303183
DDB_PD_060_AMBR_R07__S04,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S04,10.03586532,2,11.45,13.615880179037301,1.57126729231833,0.0,0.0,0.0,2.5936058195983804,0.257790639915147,0.235008534364986,144.5847099,67.04797958,6442.188151,5709.450693,47.03531295,3.118982558,199.7166595,81.33183931,2550.770997,100.5098444
DDB_PD_060_AMBR_R07__S05,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S05,12.04043774,2,24.0299,0.0,1.92787038859071,0.0,1.50348442628243,0.0,1.92092034895269,0.18166490115318099,0.26092510201336,145.055772,42.76529906,6562.478823,5083.145775,38.49870201,4.250437616,182.2117828,70.67592098,2346.185023,0.0
DDB_PD_060_AMBR_R07__S06,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S06,13.30579427,2,27.05,0.0,0.6203241676200559,0.0,1.29040504299069,0.0,0.0,0.0,0.0,128.5886794,46.09290891,5494.718564,4638.811492,21.48012492,48.06067569,176.9708213,0.0,2189.83559,0.0
DDB_PD_060_AMBR_R07__S07,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S07,16.30817295,2,48.45,0.0,0.0,0.0,1.2619076792720798,0.0,0.0,0.0,0.254949695729205,113.6038715,14.3872968,5452.593863,4590.316332,24.52595198,26.40092061,167.4281329,0.0,2148.760865,0.0
DDB_PD_060_AMBR_R07__S08,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S08,19.30866787,2,73.6,0.0,0.0,0.0,1.16855978977822,0.0,0.0,0.0,0.368409185811362,111.189917,20.13631475,5017.542763,4440.715062,33.74356349,60.96384406,167.0500124,0.0,2135.36438,0.0
DDB_PD_060_AMBR_R07__S09,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S09,22.30745692,2,108.1,0.0,0.0,0.0,1.3726324714803,0.0,0.0,0.0,0.392219427174714,126.457619,27.98877033,4074.81389,5692.274452,31.21398864,79.6880994,155.1968984,176.003491,2688.410741,0.0
DDB_PD_060_AMBR_R07__S10,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S10,25.30702171,2,127.5,0.0,0.0,0.0,1.40189898471584,0.0,0.0,0.0,0.27985172861811297,129.5418843,35.93736434,1960.005169,4664.904228,30.35213933,82.11280374,128.3555012,72.6772892,2240.202979,0.0
DDB_PD_060_AMBR_R07__S11,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S11,28.30726095,2,174.1,0.0,0.0,0.0,1.86737289513501,0.0,0.0,0.0,0.0,146.4933748,35.16200731,237.0539611,3796.072137,23.9828868,94.04531046,89.05769193,0.0,1757.184025,58.38460842
DDB_PD_060_AMBR_R07__S12,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S12,31.30858307,2,218.1,0.0,0.0,0.0,2.15037529930975,0.0,0.0,0.0,0.0,179.4450657,35.5919096,279.2720888,3842.828263,42.15309373,113.1290766,54.01129039,0.0,2156.60882,70.17535775
DDB_PD_060_AMBR_R07__S13,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S13,34.30869975,2,216.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388040200256747,148.5886262,0.0,87.39693194,2616.169898,79.81669858,64.82156895,27.24284927,0.0,1595.765852,0.0
DDB_PD_060_AMBR_R07__S14,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R07_Main_,R07,S14,37.30964682,2,231.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355157206447207,146.7653491,0.0,104.7413187,2284.372718,163.9741447,29.58061316,21.32673151,0.0,1467.975066,0.0
DDB_PD_060_AMBR_R08__S01,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R08_Main_,R08,S01,0.0,2,0.499,27.7286131804326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.1527482,148.5932069,2016.701027,6203.582709,16.88471787,20.98860169,126.5685127,132.9936027,2801.855156,3852.654584
DDB_PD_060_AMBR_R08__S02,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R08_Main_,R08,S02,4.059941618,2,1.469,25.471542218596397,0.32469741515304695,0.0,0.0,0.0,0.0,0.34931741918389403,0.0,103.5258272,145.9530192,1649.502012,6502.991312,22.14866231,34.71446731,127.9139259,140.2188541,2854.820961,4309.109042
DDB_PD_060_AMBR_R08__S03,DDB_PD_060_AMBR,DDB_PD_060_AMBR_DDB35-001_R08_Main_,R08,S03,8.06609884,2,5.7,18.698181642763302,1.01538383355422,0.0,0.0,0.0,1.45896474869434,0.676645798627715,0.0,114.1240039,97.56077943,2109.041868,5055.670024,29.51495555,9.912506071,140.0972904,65.396518,2104.696684,4727.50106
