Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],as [µg/L],cd_no_gas [µg/L],co [µg/L],cr [µg/L],cu [µg/L],fe [µg/L],mn [µg/L],mo [µg/L],ni [µg/L],pb_no_gas [µg/L],v [µg/L],zn [µg/L]
DDB_PD_036_AMBR_R16__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S02,6.435638,2.5,2.338,32.2913591011927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,164,0,196.6,5647,71.3,174,0,0,0,389.8
DDB_PD_036_AMBR_R16__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S03,9.033602,1.0,6.56,19.7874529559525,0.676748974397096,0.0,0.0,0.0,0.286588277094956,0.0,0.0,0,0,160.3,0,157.4,5231.6,70.2,158.7,0,0,0,275.5
DDB_PD_036_AMBR_R16__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S04,12.03232,1.0,22.44,7.947762934265469,1.2734576344541098,0.0,0.0,0.0,0.6570109068543261,0.0,0.0,0,0,162.6,0,143.2,4669.3,73.1,142.9,0,0,0,145.9
DDB_PD_036_AMBR_R16__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S05,13.81362,1.0,40.4,0.0,0.458951791980857,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168.6,0,106.3,4261.3,86.5,141.8,0,0,0,73.6
DDB_PD_036_AMBR_R16__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S06,16.8159,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,159.6,0,89.2,3239,79.3,128.7,0,0,0,88.8
DDB_PD_036_AMBR_R16__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S07,20.40496,1.5,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,165.7,0,106.4,2141.7,84,124.9,0,0,0,87.4
DDB_PD_036_AMBR_R16__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S08,22.81344,1.0,104.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,179.9,0,90.7,1180.8,93.6,110.4,0,0,0,81.8
DDB_PD_036_AMBR_R16__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S09,25.8148,1.0,132.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,182.5,0,86,83,98.2,74.9,0,0,0,81.8
DDB_PD_036_AMBR_R16__S10,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S10,29.77679,1.5,168.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,198.9,0,61.6,0,95,41.3,0,0,0,78.7
DDB_PD_036_AMBR_R16__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S11,31.80746,1.0,229.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,251.2,0,90.6,0,109.3,54.4,0,0,0,318.7
DDB_PD_036_AMBR_R16__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R16_Main_,R16,S12,34.81584,1.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,282.1,0,63.3,307.5,69.2,49,0,0,0,251.5
DDB_PD_036_AMBR_R17__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S00,0.0,1.0,0.273,21.4589011965983,0.191873002677437,0.0,0.0,0.0,0.0,0.0,0.0,0,0,137.7,0,153.3,5014.7,55,156.8,0,0,0,149.6
DDB_PD_036_AMBR_R17__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S01,3.056451,1.0,0.666,24.0560918904071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,145.7,0,181.8,5341.4,49.8,169,0,0,0,285.4
DDB_PD_036_AMBR_R17__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S02,6.220366,2.5,2.104,27.687973452159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,154.8,0,197.1,5799.6,56,162.3,0,0,0,219.8
DDB_PD_036_AMBR_R17__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S03,9.05483,1.0,6.15,17.625673264183902,0.6061033752292551,0.0,0.0,0.0,0.288477286819194,0.0,0.0,0,0,144.1,0,149.4,5213.4,98,158.4,0,0,0,480.7
DDB_PD_036_AMBR_R17__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S04,12.05805,1.0,20.68,7.9759835661357705,1.13656846996231,0.0,0.0,0.0,0.614449769039893,0.0,0.0,0,0,160.9,0,141.9,4782.8,86.6,150.3,0,0,0,55.1
DDB_PD_036_AMBR_R17__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S05,14.08381,1.0,39.95,0.0,0.362317508464856,0.0,0.0,0.0,0.0,0.0,0.0,0,0,158,0,102.6,4003,82.7,136,0,0,0,52.3
DDB_PD_036_AMBR_R17__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S06,17.08639,1.0,55.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162.4,0,91,3108.6,81.3,128.3,0,0,0,31.3
DDB_PD_036_AMBR_R17__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S07,20.64214,1.5,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,160.3,0,94.7,1784.1,89,123.6,0,0,0,44.9
DDB_PD_036_AMBR_R17__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S08,23.08414,1.0,103.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,176,0,90,469.7,96.2,113.7,0,0,0,33.4
DDB_PD_036_AMBR_R17__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S09,26.09044,1.0,131.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,182.6,0,89.2,64.2,98,69.3,0,0,0,112.4
DDB_PD_036_AMBR_R17__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S11,32.09813,1.0,218.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,238.8,0,66.1,145.9,88.3,69.5,0,0,0,313.7
DDB_PD_036_AMBR_R17__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R17_Main_,R17,S12,35.08622,1.0,300.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,290.7,0,432.2,228.9,56.1,59.7,0,5.9,0,274.1
