Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],as [µg/L],cd_no_gas [µg/L],co [µg/L],cr [µg/L],cu [µg/L],fe [µg/L],mn [µg/L],mo [µg/L],ni [µg/L],pb_no_gas [µg/L],v [µg/L],zn [µg/L]
DDB_PD_036_AMBR_R21__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S04,12.09684,1.0,17.6,8.57977429155533,1.17622372380529,0.0,0.0,0.0,0.6903359833155489,0.0,0.0,0,0,172.6,0,145.6,5162.6,94.1,158.6,0,0,0,118.6
DDB_PD_036_AMBR_R21__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S05,14.76732,1.0,37.4,0.0,0.351733024237455,0.0,0.0,0.0,0.0,0.0,0.0,0,0,161.8,21.1,113.4,4426.1,88,139.6,8.8,0,0,90.4
DDB_PD_036_AMBR_R21__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S06,17.76911,1.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,163.2,0,99.3,3576.7,90.5,140.5,0,0,0,49.9
DDB_PD_036_AMBR_R21__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S07,20.83043,1.5,74.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,161.6,0,100.7,2186.8,86.1,119.9,0,0,0,78.5
DDB_PD_036_AMBR_R21__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S08,23.76747,1.0,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,175.9,0,78.8,1137,90.3,107.2,0,0,0,57.2
DDB_PD_036_AMBR_R21__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S09,26.76987,1.0,130.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,192,0,78.7,109.1,96.3,69.5,0,0,0,45.7
DDB_PD_036_AMBR_R21__S10,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S10,30.20662,1.5,168.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,204.6,0,48.8,54.4,81.9,38.6,0,0,0,58.2
DDB_PD_036_AMBR_R21__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S11,32.76752,1.0,214.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,268.8,0,62.5,128.7,72.7,49.8,0,0,0,395.1
DDB_PD_036_AMBR_R21__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R21_Main_,R21,S12,35.76972,1.0,265.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,328.3,0,91.3,126.4,41.3,50.1,0,0,0,284.9
DDB_PD_036_AMBR_R22__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S00,0.0,1.0,0.255,22.1095344451569,0.191957510009875,0.0,0.0,0.0,0.0,0.0,0.0,0,0,104,0,161.8,5319.2,36.8,161.5,0,0,0,289.7
DDB_PD_036_AMBR_R22__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S01,3.115041,1.0,0.718,24.430628703619497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,103.8,0,178.5,5680.2,42.8,172.1,0,0,0,335.3
DDB_PD_036_AMBR_R22__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S02,6.300941000000001,2.5,2.108,31.6317483447226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,103.3,0,216.9,5926.9,35.5,168.1,0,0,0,319.3
DDB_PD_036_AMBR_R22__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S03,9.113539999999999,1.0,6.56,19.8987721236561,0.6751307272004339,0.0,0.0,0.0,0.429451421155151,0.0,0.0,0,0,116.7,0,151.9,5511.4,62.9,156.1,0,0,0,255.3
DDB_PD_036_AMBR_R22__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S04,12.11653,1.0,18.34,7.85902084196511,1.20913608205559,0.0,0.0,0.0,0.768120825998586,0.0,0.0,0,0,165.8,0,148.5,5009.6,94.4,152.3,0,0,0,116.1
DDB_PD_036_AMBR_R22__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S05,14.66371,1.0,38.05,0.0,0.399508863378047,0.0,0.0,0.0,0.0,0.0,0.0,0,0,159.3,6.7,111.6,4369.7,89.8,137.4,0,0,0,80
DDB_PD_036_AMBR_R22__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S06,17.66553,1.0,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,161.7,0,94.7,3520.7,85,133.1,0,0,0,64.2
DDB_PD_036_AMBR_R22__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S07,20.77354,1.5,75.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,165.7,0,104.9,2241.3,90.8,127.6,0,0,0,51.4
DDB_PD_036_AMBR_R22__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S08,23.66436,1.0,105.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,178.4,0,87.8,1232.8,96.9,108.4,0,0,0,69
DDB_PD_036_AMBR_R22__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S09,26.66685,1.0,130.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,186,0,87.7,97.9,99.9,75.7,0,0,0,35.8
DDB_PD_036_AMBR_R22__S10,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S10,30.23346,1.5,166.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,203.8,0,62,56.6,109.6,39.6,0,0,0,76.8
DDB_PD_036_AMBR_R22__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S11,32.65948,1.0,232.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,262.5,0,93.1,128.6,106.5,55.7,0,0,0,348.8
DDB_PD_036_AMBR_R22__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_DDB35-001_R22_Main_,R22,S12,35.66697,1.0,278.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,312.6,0,83.1,0,64.8,46.3,0,0,0,367.5
DDB_PD_036_AMBR_R23__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S00,0.0,1.0,0.245,22.883427824234502,0.220473821909022,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140.3,0,165.7,5379.9,54.9,161.3,0,0,2.6,78.4
DDB_PD_036_AMBR_R23__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S01,3.090628,1.0,0.73,24.9975851377586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,148.9,0,174.8,5825.9,50,167.5,0,0,0,90.4
DDB_PD_036_AMBR_R23__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S02,6.515232,2.5,2.4,33.537426096929096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,145.6,0,213.7,5785.8,51.1,166.3,0,0,0,104.6
DDB_PD_036_AMBR_R23__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S03,9.091664999999999,1.0,6.47,20.1636044340369,0.6929636907209149,0.0,0.0,0.0,0.450020764470011,0.0,0.0,0,0,152.5,0,153.3,5640.5,65.7,159.3,0,0,0,58
DDB_PD_036_AMBR_R23__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S04,12.08979,1.0,18.14,9.58037194873832,1.13062756739177,0.0,0.0,0.0,0.633176918387922,0.0,0.0,0,0,167.9,0,149.7,5219.4,87.9,154.9,0,0,0,75.4
DDB_PD_036_AMBR_R23__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S05,14.69662,1.0,38.15,0.0,0.43329242732219303,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.3,0,106.5,4412.6,85.1,147.1,0,0,0,72.8
DDB_PD_036_AMBR_R23__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S06,17.70806,1.0,54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,163,0,102.3,3369.8,89.8,130.2,0,0,0,58.2
DDB_PD_036_AMBR_R23__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S07,20.69774,1.5,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,164.7,0,102.1,1897.3,89.2,118.1,0,0,0,44.4
DDB_PD_036_AMBR_R23__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S08,23.69685,1.0,100.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,182.9,0,107,423.8,107.9,112.5,0,0,0,54.2
DDB_PD_036_AMBR_R23__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S09,26.69921,1.0,130.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,185,0,93.5,60.3,106.1,73.4,0,0,0,59.5
DDB_PD_036_AMBR_R23__S10,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S10,30.05084,1.5,161.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,199.3,0,60.3,0,104.1,44.8,0,0,0,64.4
DDB_PD_036_AMBR_R23__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S11,32.69681,1.0,231.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,280.9,0,142.9,177.7,116.5,63.7,0,0,0,292.4
DDB_PD_036_AMBR_R23__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R23_Main_,R23,S12,35.6992,1.0,259.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,299.3,0,80.5,753.8,64.5,45.6,0,0,0,459.7
DDB_PD_036_AMBR_R24__S00,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S00,0.0,1.0,0.251,21.6390667494154,0.242602432364372,0.0,0.0,0.0,0.0,0.0,0.0,0,0,157.8,0,166.7,5508.5,57.4,161.5,0,0,3,70.7
DDB_PD_036_AMBR_R24__S01,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S01,3.11023,1.0,0.752,24.020584786483703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,168,0,182.5,5817.5,61.8,169,0,0,0,106.8
DDB_PD_036_AMBR_R24__S02,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S02,6.551483999999999,2.5,2.534,26.092072834613397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,172.2,0,217.6,6226.6,62.2,174.4,0,0,0,100.3
DDB_PD_036_AMBR_R24__S03,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S03,9.111302,1.0,7.02,16.7606049329209,0.7391457775329411,0.0,0.0,0.0,0.459772520315283,0.0,0.0,0,0,160.9,0,146.5,5626.8,67.2,159.4,0,0,0,62.6
DDB_PD_036_AMBR_R24__S04,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S04,12.11916,1.0,20.82,6.813373312231789,1.32967996484008,0.0,0.0,0.0,0.745778693088084,0.0,0.0,0,0,163.5,5.6,152.4,5371,83.7,149.6,0,0,0,83.7
DDB_PD_036_AMBR_R24__S05,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S05,14.19346,1.0,38.35,0.0,0.6379863046220859,0.0,0.0,0.0,0.0,0.0,0.0,0,0,167,0,96.1,4376.6,81.6,133.4,0,0,0,44.6
DDB_PD_036_AMBR_R24__S06,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S06,17.19536,1.0,55.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.6,0,96.7,3281.6,83.7,130.3,0,0,0,66.1
DDB_PD_036_AMBR_R24__S07,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S07,20.58966,1.5,77.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,167.6,0,99,1292.6,85.4,121.6,0,0,0,36.4
DDB_PD_036_AMBR_R24__S08,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S08,23.19364,1.0,106.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,181,0,127.2,136.7,95.8,109.2,0,0,0,34.5
DDB_PD_036_AMBR_R24__S09,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S09,26.19597,1.0,133.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,190.4,0,98.9,190.3,230.1,68.1,0,0,0,467.9
DDB_PD_036_AMBR_R24__S10,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S10,30.07743,1.5,176.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,268.5,0,107.6,195,106.9,80.1,0,0,0,367.6
DDB_PD_036_AMBR_R24__S11,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S11,32.2031,1.0,225.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,275.4,0,154.5,0,119.7,59.3,0,0,0,331.3
DDB_PD_036_AMBR_R24__S12,DDB_PD_036_AMBR,DDB_PD_036_AMBR_SDT107-001_R24_Main_,R24,S12,35.19583,1.0,275.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,309.5,0,101.4,0,73.7,51.7,0,15.5,0,215.9
