Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L]
DDB_PD_006_AMBR_R01__S00,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S00,0.059731758,1.0,0.256,20.474840438022103,0.0,0.0,0.0,0.0,0.0,9.87901416759612,0.0,0.0
DDB_PD_006_AMBR_R01__S01,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S01,3.018471305,1.0,0.564,21.5859345471889,0.0,0.0,0.0,0.0,0.0,10.5475616271786,0.0,0.0
DDB_PD_006_AMBR_R01__S02,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S02,6.049919173999999,2.5,1.5,21.316797500590397,0.162892860870638,0.0,0.0,0.0,0.0,10.7469638177178,0.0,0.0
DDB_PD_006_AMBR_R01__S03,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S03,9.018873337999999,1.0,4.665,18.8875964921519,0.328206293699006,0.0,0.0,0.0,0.0,11.1741795352089,0.0,0.0
DDB_PD_006_AMBR_R01__S04,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S04,12.01830171,1.0,12.36,11.1496562621655,0.8219243098822531,0.0,0.0,0.0,0.706555711726579,10.444396211238999,0.114875196612545,0.0
DDB_PD_006_AMBR_R01__S05,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S05,14.94996043,1.0,28.64,0.437389032154836,0.466613634556216,0.0,0.0,0.0,0.0,10.3526476558074,0.0,0.0
DDB_PD_006_AMBR_R01__S06,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S06,17.9527174,1.0,40.3,0.6904066427479529,0.174475615698558,0.0,0.0,0.0,0.0,9.790907577498679,0.0,0.0
DDB_PD_006_AMBR_R01__S07,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S07,20.95386944,1.5,59.6,0.547465126117049,0.0,0.0,0.0,0.0,0.0,9.29845162007488,0.0,0.0
DDB_PD_006_AMBR_R01__S08,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S08,23.96385704,1.0,83.1,0.0,0.0,0.0,0.0,0.0,0.0,7.9474982111170895,0.0,0.0
DDB_PD_006_AMBR_R01__S09,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S09,26.94981606,1.0,106.4,0.0,0.0,0.0,0.0,0.0,0.0,6.88848014495411,0.0,0.0
DDB_PD_006_AMBR_R01__S10,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R01_Main_,R01,S10,29.95537194,1.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1409465732419,0.0,0.0
DDB_PD_006_AMBR_R02__S00,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S00,0.077644361,1.0,0.286,20.0146182165847,0.0,0.0,0.0,0.0,0.0,9.636659796912749,0.0,0.0
DDB_PD_006_AMBR_R02__S01,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S01,3.036297479,1.0,0.55,21.4829311110601,0.0,0.0,0.0,0.0,0.0,10.4723971375866,0.0,0.0
DDB_PD_006_AMBR_R02__S02,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S02,6.075120216,2.5,1.468,20.7919206884877,0.162077053343912,0.0,0.0,0.0,0.0,10.5377025353369,0.0,0.0
DDB_PD_006_AMBR_R02__S03,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S03,9.038097696,1.0,4.71,18.7930286326725,0.450418306837112,0.0,0.0,0.0,0.0,11.2467665072842,0.0,0.0
DDB_PD_006_AMBR_R02__S04,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S04,12.03605651,1.0,12.66,10.860323915049598,0.8464892851149141,0.0,0.0,0.0,0.72702649516885,10.4063442100074,0.11182357375821199,0.0
DDB_PD_006_AMBR_R02__S05,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S05,15.03147357,1.0,28.66,0.37156836937152404,0.394367860634093,0.0,0.0,0.0,0.0,10.349771045811,0.0,0.0
DDB_PD_006_AMBR_R02__S06,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S06,18.0346677,1.0,39.75,0.592124351548332,0.0,0.0,0.0,0.0,0.0,9.51913819270382,0.0,0.0
DDB_PD_006_AMBR_R02__S07,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S07,21.03555885,1.5,57.1,0.43826869368689597,0.0,0.0,0.0,0.0,0.0,9.282122520834461,0.0,0.0
DDB_PD_006_AMBR_R02__S08,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S08,24.07234876,1.0,81.95,0.0,0.0,0.0,0.0,0.0,0.0,8.1456589009644,0.0,0.0
DDB_PD_006_AMBR_R02__S09,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S09,27.03187947,1.0,105.8,0.0,0.0,0.0,0.0,0.0,0.0,6.98583124080035,0.0,0.0
DDB_PD_006_AMBR_R02__S10,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB25-001_R02_Main_,R02,S10,30.04577305,1.5,114.1,0.0,0.329505786004192,0.0,0.0,0.0,0.0,0.25422453366492004,0.0,0.0
DDB_PD_006_AMBR_R04__S00,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S00,0.065954913,1.0,0.268,20.760928257343,0.0,0.0,0.0,0.0,0.0,10.0498472062075,0.0,0.0
DDB_PD_006_AMBR_R04__S01,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S01,3.024839948,1.0,0.57,21.2265774802079,0.0,0.0,0.0,0.0,0.0,10.3616766882012,0.0,0.0
DDB_PD_006_AMBR_R04__S02,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S02,6.070747667999999,2.5,1.576,21.194704177273497,0.153136484139595,0.0,0.0,0.0,0.0,10.7472342740805,0.0,0.0
DDB_PD_006_AMBR_R04__S03,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S03,9.037866031,1.0,4.78,17.9735601295348,0.319442171917999,0.0,0.0,0.0,0.426217715328698,10.838059917084399,0.101040456950267,0.0
DDB_PD_006_AMBR_R04__S04,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S04,12.02436238,1.0,13.05,10.8862060644932,0.8589285454913249,0.0,0.0,0.0,0.787173690791239,10.4519461300113,0.111582183780329,0.0
DDB_PD_006_AMBR_R04__S05,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S05,15.18517233,1.0,29.26,0.430646877949051,0.0,0.0,0.0,0.0,0.0,10.2554353970068,0.0,0.0
DDB_PD_006_AMBR_R04__S06,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S06,18.18847122,1.0,38.8,0.806201270184545,0.0,0.0,0.0,0.0,0.0,10.0553273671039,0.0,0.0
DDB_PD_006_AMBR_R04__S07,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S07,21.1890534,1.5,59.55,0.356478192547243,0.0,0.0,0.0,0.0,0.0,9.30736571299389,0.0,0.0
DDB_PD_006_AMBR_R04__S08,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S08,24.19729964,1.0,80.7,0.0,0.203677269171272,0.0,0.0,0.0,0.0,8.38025862421666,0.0,0.0
DDB_PD_006_AMBR_R04__S09,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S09,27.18556282,1.0,104.95,0.0,0.0,0.0,0.0,0.0,0.0,7.18485159908418,0.0,0.0
DDB_PD_006_AMBR_R04__S10,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R04_Main_,R04,S10,30.18596854,1.5,122.0,0.0,0.31873562665728206,0.0,0.0,0.0,0.0,5.2560815520174495,0.0,0.0
DDB_PD_006_AMBR_R05__S00,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S00,0.083380976,1.0,0.272,20.851179096174903,0.0,0.0,0.0,0.0,0.0,10.0760084606835,0.0,0.0
DDB_PD_006_AMBR_R05__S01,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S01,3.042176165,1.0,0.572,21.5354734106622,0.0,0.0,0.0,0.0,0.0,10.5195635299304,0.0,0.0
DDB_PD_006_AMBR_R05__S02,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S02,6.095424231,2.5,1.604,21.221283752034598,0.15705577066264398,0.0,0.0,0.0,0.0,10.7684924772757,0.0,0.0
DDB_PD_006_AMBR_R05__S03,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S03,9.056435638,1.0,4.795,17.9250414367026,0.316277479694641,0.0,0.0,0.0,0.0,10.8141560922866,0.0,0.0
DDB_PD_006_AMBR_R05__S04,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S04,12.04243616,1.0,13.39,10.364447667007902,0.833081807790744,0.0,0.0,0.0,0.8106855976657359,10.3589291418208,0.11705454317834299,0.0
DDB_PD_006_AMBR_R05__S05,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S05,15.21035743,1.0,28.28,0.399736096956497,0.0,0.0,0.0,0.0,0.0,10.2945196735308,0.0,0.0
DDB_PD_006_AMBR_R05__S06,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S06,18.21346406,1.0,43.6,0.740581962716073,0.0,0.0,0.0,0.0,0.0,9.86427063299429,0.0,0.0
DDB_PD_006_AMBR_R05__S07,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S07,21.2155127,1.5,57.95,0.368244830225533,0.0,0.0,0.0,0.0,0.0,8.77616285825519,0.0,0.0
DDB_PD_006_AMBR_R05__S08,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S08,24.21451311,1.0,82.35,0.0,0.164616631666791,0.0,0.0,0.0,0.0,8.10857039086766,0.0,0.0
DDB_PD_006_AMBR_R05__S09,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S09,27.21078123,1.0,104.75,0.0,0.0,0.0,0.0,0.0,0.0,6.60546187190083,0.0,0.0
DDB_PD_006_AMBR_R05__S10,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB28-001_R05_Main_,R05,S10,30.23381187,1.5,125.75,0.0,0.0,0.0,0.0,0.0,0.0,5.375659473931879,0.0,0.0
DDB_PD_006_AMBR_R06__S00,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S00,0.069882949,1.0,0.272,21.030876173516102,0.0,0.0,0.0,0.0,0.0,10.2050170733363,0.0,0.0
DDB_PD_006_AMBR_R06__S01,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S01,3.018055491,1.0,0.542,21.3784703120891,0.0,0.0,0.0,0.0,0.0,10.4211247836696,0.0,0.0
DDB_PD_006_AMBR_R06__S02,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S02,6.018030587999999,1.0,1.106,22.1725710878122,0.0,0.0,0.0,0.0,0.0,11.0212982942319,0.0,0.0
DDB_PD_006_AMBR_R06__S03,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S03,9.019125793999999,2.5,2.79,20.386852212577402,0.0,0.0,0.0,0.0,0.0,10.6747555651871,0.0,0.0
DDB_PD_006_AMBR_R06__S04,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S04,12.01903756,1.0,10.17,16.340910261774198,0.121966760306952,0.0,0.0,0.0,0.453665934045617,10.8849564983671,0.0,0.0
DDB_PD_006_AMBR_R06__S05,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S05,16.91176835,1.0,28.18,0.0,0.0,0.0,0.0,0.0,0.0,10.4983702213214,0.0,0.0
DDB_PD_006_AMBR_R06__S06,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S06,19.91486398,1.0,39.1,0.0,0.0,0.0,0.0,0.0,0.0,10.3226988787204,0.0,0.0
DDB_PD_006_AMBR_R06__S07,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S07,22.92513947,1.5,58.825,0.0,0.0,0.0,0.0,0.0,0.0,9.12072767181553,0.0,0.0
DDB_PD_006_AMBR_R06__S08,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S08,25.91516412,1.0,79.75,0.0,0.0,0.0,0.0,0.0,0.0,8.60442311945645,0.0,0.0
DDB_PD_006_AMBR_R06__S09,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S09,28.91194062,1.0,108.6,0.0,0.0,0.0,0.0,0.0,0.0,7.1410388497894495,0.0,0.0
DDB_PD_006_AMBR_R06__S10,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R06_Main_,R06,S10,31.94000373,1.5,134.3,0.0,0.0,0.0,0.0,0.0,0.0,5.535964925806099,0.0,0.0
DDB_PD_006_AMBR_R07__S00,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R07_Main_,R07,S00,0.08814008400000001,1.0,0.262,20.488652108746898,0.0,0.0,0.0,0.0,0.0,9.88406437181045,0.0,0.0
DDB_PD_006_AMBR_R07__S01,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R07_Main_,R07,S01,3.036353587,1.0,0.536,21.961038876773703,0.0,0.0,0.0,0.0,0.0,10.650624351614299,0.0,0.0
DDB_PD_006_AMBR_R07__S02,DDB_PD_006_AMBR,DDB_PD_006_AMBR_DDB29-001_R07_Main_,R07,S02,6.03637232,1.0,1.124,22.282595489382402,0.0,0.0,0.0,0.0,0.0,11.0251627489942,0.0,0.0
