Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L]
DDB_PD_005_AMBR_R01__S00,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S00,0.036495174,1.0,0.256,21.867193368028598,0.0,0.0,0.175716947457933,0.0,0.0,9.6184137313198,0.0,0.0
DDB_PD_005_AMBR_R01__S01,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S01,3.047016463,1.0,0.628,21.757896529294797,0.0,0.0,0.14100214530824298,0.0,0.0,11.6721395411599,0.0,0.0
DDB_PD_005_AMBR_R01__S02,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S02,6.018670387999999,2.5,1.8,20.801498121417,0.12906754095291,0.0,0.106812108464467,0.0,0.0,10.9746230857356,0.0,0.0
DDB_PD_005_AMBR_R01__S03,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S03,9.016564169,1.0,5.365,16.772115641362998,0.362876395243964,0.0,0.146651258164256,0.0,0.580862981365122,9.83342930234537,0.0984382876831008,0.0
DDB_PD_005_AMBR_R01__S04,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S04,12.01929497,1.0,14.65,9.421336523395269,0.568955464264801,0.0,0.19140542280577402,0.0,1.08259354818517,9.34122601264476,0.308042147718225,0.0
DDB_PD_005_AMBR_R01__S05,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S05,14.45404617,1.0,28.86,0.0,0.0,0.0,0.0,0.0,0.0,10.5221003511127,0.0,0.0
DDB_PD_005_AMBR_R01__S06,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S06,17.45244237,1.0,39.5,0.0,0.0,0.0,0.205852240353282,0.0,0.0,9.942806620356361,0.0,0.0
DDB_PD_005_AMBR_R01__S07,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S07,20.48524644,1.5,61.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0783500350006,0.010269187239987699,0.0
DDB_PD_005_AMBR_R01__S08,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S08,23.46513661,1.0,73.35,0.0,0.0,0.0,0.0,0.0,0.0,8.25729764527629,0.0,0.0
DDB_PD_005_AMBR_R01__S09,DDB_PD_005_AMBR,DDB_PD_005_AMBR_DDB7-002_R01_Main_,R01,S09,26.45263211,1.0,95.0,0.0,0.0801399986275725,0.0,0.0,0.0,0.0,7.10846389568855,0.00239370958461731,0.0
