Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],co [µg/L],cu [µg/L],fe [µg/L],k [mg/L],mg [mg/L],mn [µg/L],mo [µg/L],na [mg/L],s [mg/L],zn [µg/L]
DDB_PD_067_AMBR_R13__S00,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S00,0.0,1.5,,23.32944900166515,0.0,1.578799076012175,0.0,0.0,0.0,0.4822539095122855,0.0,523.78924,462.0427436,45608.52145,5212.542751,43.46956068,458.9221909,816.5750988,46.25961308,2357.133867,6186.027804
DDB_PD_067_AMBR_R13__S01,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S01,3.016998767,1.5,,22.986155892297102,0.095473099493633,1.566736396834035,0.0,0.0,0.0,0.4295225234154435,0.0,486.9241713,448.6939277,43718.01867,5377.603223,35.87737203,428.336034,778.8484235,43.12242193,2660.775135,5981.381309
DDB_PD_067_AMBR_R13__S02,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S02,6.018743008,1.5,,20.62829230498945,0.2375250286728445,1.46785916481422,0.0,0.0,0.11289176554783051,0.36748170177804496,0.0,507.2840242,444.7418372,46150.73025,5209.307573,48.09120592,460.1557484,802.4045456,40.30964323,2438.928215,6282.018488
DDB_PD_067_AMBR_R13__S03,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S03,9.018568937000001,3.5,,17.855911628462,0.45142103175446097,1.39713802838006,0.12900738269202,0.0,0.61780134509145,0.0,0.0,511.7561252,386.0110143,46101.3157,5357.23162,61.06390553,464.9907517,795.2696418,39.43466973,2612.873092,6172.913841
DDB_PD_067_AMBR_R13__S04,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S04,12.01864635,1.5,,15.21387587932955,0.7232735319344499,1.5234553192399949,0.1040344119001675,0.86030662878627,1.64254114976224,0.5980825032323199,0.1793021863217355,568.9581059,188.9379467,50725.48039,5301.139333,62.61386571,466.2987825,886.0471399,48.34607996,2507.122953,6949.488538
DDB_PD_067_AMBR_R13__S05,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S05,17.00280482,1.5,,0.0,0.18377334320933952,1.06874810814473,0.0,0.0,0.0,0.0,0.1669521178313495,489.631092,160.5324608,40654.1848,4860.453128,28.70757151,267.6659384,686.4417216,36.64852564,2482.103405,5263.718304
DDB_PD_067_AMBR_R13__S06,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S06,19.9979918,1.5,,0.0,0.100560605066009,1.01077215661481,0.0,0.660370625940635,0.0,0.0,0.355828744920764,509.044422,162.5747796,39844.55807,5435.756198,55.76623633,203.3788744,668.7969678,43.41115445,2670.525432,5100.544959
DDB_PD_067_AMBR_R13__S07,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S07,23.3466741,1.5,,0.0,0.1541187745770185,1.023747655553495,0.0,0.0,0.0,0.0,0.63790986862915,483.5298746,145.8257402,36903.02402,4903.283778,62.18974347,147.8857311,592.4107286,31.57683891,2436.7167,4348.432262
DDB_PD_067_AMBR_R13__S08,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S08,26.00166655,1.5,,0.0,0.18418300937747048,1.1635392942102,0.0,0.0,0.0,0.0,0.815303065515025,408.6506615,107.3465348,27996.24069,4400.158597,74.03679331,102.4125546,468.6036641,23.02450137,2081.115258,3278.425953
DDB_PD_067_AMBR_R13__S09,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S09,28.99720147,2.0,,0.0,0.178844868237662,1.11964038343916,0.0,0.0,0.1096386013406535,0.0,1.069515806015925,368.359939,59.28098407,21594.03816,3995.680004,75.79355668,69.47392504,393.2567073,17.88241039,1968.229996,2801.104108
DDB_PD_067_AMBR_R13__S10,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R13_Main_,R13,S10,31.99971542,2.5,,0.0,0.151518146401412,0.8625576529754799,0.0,0.0,0.13843369777617248,0.0,1.1534628373818752,340.5353216,72.55630666,17012.57129,3545.975453,85.24411388,44.15736724,333.7820291,0.0,1843.225158,1727.198737
DDB_PD_067_AMBR_R14__S00,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R14_Main_,R14,S00,0.0,1.5,,22.885334333048498,0.0,1.553766612810835,0.0,0.0,0.0,0.481723321865078,0.0,507.2573898,459.3649285,44794.77451,5574.665659,49.76309581,439.84383,802.6987538,49.00077045,2656.561696,6195.78222
DDB_PD_067_AMBR_R14__S01,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R14_Main_,R14,S01,3.046879168,1.5,,21.3126617735228,0.18053681416573453,1.4272083935975548,0.0,0.0,0.0,0.23335142228265549,0.0,479.5122534,429.5009484,43114.74728,5502.833451,38.15636779,422.9619993,752.5773202,42.47918487,2694.727106,5898.394088
DDB_PD_067_AMBR_R14__S02,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R14_Main_,R14,S02,6.03902946,1.5,,21.8215147156068,0.24505736672995299,1.53394177577034,0.0,0.0,0.0,0.397834958177341,0.0,474.8269375,424.6249568,43041.96561,5335.290707,50.02158931,421.1370976,760.2025051,38.80108594,2549.696242,5922.247157
DDB_PD_067_AMBR_R14__S03,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R14_Main_,R14,S03,9.037646529,3.5,,19.2107152394755,0.3343169285663685,1.40033270844215,0.09782058062391,0.33809694549639646,0.0,0.0,0.0695084890442925,497.8928891,375.3470732,45340.41917,5473.240699,63.24951785,444.7759472,803.0001299,39.55338451,2792.188337,6241.164302
DDB_PD_067_AMBR_R14__S04,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R14_Main_,R14,S04,12.03777684,1.5,,8.07380093276145,0.79957486538829,1.17087524201778,0.16716201793824248,0.9541156523859851,0.69299326489383,0.0,0.1498379806457465,538.817761,189.8302852,48354.02573,5480.262122,66.47477324,456.8049947,839.1756872,46.45034344,2621.070956,6496.429378
DDB_PD_067_AMBR_R14__S05,DDB_PD_067_AMBR,DDB_PD_067_AMBR_SDT170-002_R14_Main_,R14,S05,16.97943473,1.5,,0.0,0.16543499305126352,1.110470502084725,0.0,0.3589987389605875,0.0,0.0,0.154352807742455,484.2353856,160.5740628,41269.69644,4874.543563,33.17134219,294.2449466,705.5316497,36.66426048,2446.962734,5208.986585
