Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],pyruvic acid [g/L],succinic acid [g/L],co [µg/L],cu [µg/L],fe [µg/L],k [mg/L],mg [mg/L],mn [µg/L],mo [µg/L],na [mg/L],s [mg/L],zn [µg/L]
DDB_PD_073_AMBR_R01__S00,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R01_Main_,R01,S00,0.0,1.5,,23.678125971705846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.9345735,114.8252345,5357.214268,4903.459284,18.39222522,78.7921894,105.7490256,67.2255261,2393.159618,181.2655784
DDB_PD_073_AMBR_R01__S01,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R01_Main_,R01,S01,6.018239928,1.5,,19.42398574073885,0.289347038414119,0.0,0.0,0.0,0.4982104785796835,0.0,0.02701353380808055,122.1768258,125.5787278,4896.478518,4268.884736,26.4423442,75.19338287,101.5076729,87.45170036,1987.577116,189.2462348
DDB_PD_073_AMBR_R01__S02,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R01_Main_,R01,S02,12.01830532,1.5,,8.55023566963615,1.0648510687306652,0.0,0.0,1.12569242840201,0.9688922787389451,0.35839537074412753,0.171348008603277,123.1373864,93.67292898,4143.563006,4719.121308,28.3614028,84.78845804,83.32049818,60.17561989,2107.381692,0.0
DDB_PD_073_AMBR_R01__S03,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R01_Main_,R01,S03,14.53081478,1.5,,0.0,0.5462092048253651,0.0,0.0,0.0,0.09049683098934949,0.0,0.2463170576818555,121.6286442,64.12295922,3532.125785,4133.447441,23.97524761,91.22851659,79.67535073,87.00684383,1959.203535,0.0
DDB_PD_073_AMBR_R01__S04,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R01_Main_,R01,S04,20.40161689,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278686548854086,132.5450821,53.20071072,1813.513308,4297.441463,20.43676628,94.659649,68.73707741,54.15324764,1862.686445,0.0
DDB_PD_073_AMBR_R01__S05,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R01_Main_,R01,S05,26.39983422,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104783344756255,146.8616627,57.28299005,140.5837953,3481.139175,30.85105128,113.2692365,29.59211167,80.05694616,1728.600529,0.0
DDB_PD_073_AMBR_R01__S06,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R01_Main_,R01,S06,29.44045032,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37887204371095,157.7721039,47.97142558,75.05572871,3176.66202,42.40929017,102.7876359,14.41756493,43.20319859,1827.81083,0.0
DDB_PD_073_AMBR_R02__S00,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R02_Main_,R02,S00,0.0,1.5,,23.4486690385185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.4736363,120.010794,4818.855352,4883.132197,19.70497099,70.00830871,100.5980235,64.40847029,2273.676546,162.208934
DDB_PD_073_AMBR_R02__S01,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R02_Main_,R02,S01,6.036915068,1.5,,20.826751376024546,0.315717829907125,0.0,0.0,0.3173624221354845,0.52204406671454,0.0,0.0,121.6513622,100.8688278,4798.911606,4254.53988,27.20929856,78.20473725,101.5510104,88.74849682,2002.113826,143.365607
DDB_PD_073_AMBR_R02__S02,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R02_Main_,R02,S02,12.03809042,1.5,,8.4043986349906,1.04720939542355,0.0,0.0,1.140622071253745,0.906813770700285,0.34622213380915856,0.20566444533074799,117.5554861,64.54472994,4098.006574,4853.303426,26.01468152,76.16713512,79.87938656,60.45605316,2070.274568,0.0
DDB_PD_073_AMBR_R02__S03,DDB_PD_073_AMBR,DDB_PD_073_AMBR_DDB35-001_R02_Main_,R02,S03,14.44555857,1.5,,0.0,0.38100230392600404,0.0,0.0,0.0,0.0,0.0,0.16919231931420803,122.2644408,52.47864628,3664.14422,4064.87283,20.25109933,87.13675554,81.88123869,88.7882684,1944.786515,0.0
